customer_id,recency,frequency,monetary,average_purchase_value,quantity_per_order,active_months,purchase_frequency,customer_loyalty_score,customer_risk_score,high_value_customer_flag,customer_tenure,avg_days_between_purchases,weekend_sales_ratio,customer_rank_by_revenue,churn_warning_flag,lost_one_time_buyer_flag
12346,67,6,0.0,0.0,1.5,5,1.2,3.92,0.3877314814814814,0,357,71.4,0.0,4343,0,0
12347,3,2,1323.32,661.66,414.0,2,1.0,6.85,0.0272727272727272,0,40,40.0,0.4621180062267629,1334,0,0
12348,74,1,222.16,222.16,373.0,1,1.0,1.45,0.4157303370786517,0,74,74.0,0.0,3532,0,0
12349,43,4,2646.99,661.7475000000001,247.0,4,1.0,7.75,0.1550480769230769,0,371,123.66666666666669,0.0,633,0,0
12351,11,1,300.93,300.93,261.0,1,1.0,3.92,0.2115384615384615,0,11,11.0,0.0,3213,0,0
12352,11,2,343.8,171.9,94.0,1,2.0,4.6,0.127906976744186,0,28,28.0,0.0,3001,0,0
12353,44,1,317.76,317.76,192.0,1,1.0,3.03,0.3728813559322034,0,44,44.0,0.0,3123,0,0
12355,203,1,488.21,488.21,303.0,1,1.0,3.25,0.4655963302752293,0,203,203.0,0.0,2584,0,1
12356,16,3,3560.3,1186.7666666666669,608.3333333333334,2,1.5,8.2,0.1777777777777777,1,60,30.0,0.0,432,0,0
12357,24,2,12079.99,6039.995,1939.5,1,2.0,7.52,0.3076923076923077,1,24,24.0,0.0,76,0,0
12358,11,3,2719.01,906.3366666666668,277.0,3,1.0,8.65,0.0277078085642317,0,367,183.5,0.0,615,0,0
12359,61,8,2469.36,308.67,114.25,5,1.6,9.1,0.4494736842105263,0,370,52.85714285714285,0.5313198561570609,696,0,0
12360,15,6,1550.83,258.47166666666664,215.5,4,1.5,8.2,0.1024590163934426,0,291,58.2,0.0,1148,0,0
12361,98,3,321.35,107.11666666666667,48.0,3,1.0,3.92,0.2816091954022988,0,318,159.0,0.3054302162750895,3109,0,0
12362,374,1,130.0,130.0,1.0,1,1.0,1.0,0.480719794344473,0,374,374.0,0.0,3951,0,1
12366,269,1,500.24,500.24,296.0,1,1.0,3.25,0.4735915492957746,0,269,269.0,0.0,2549,0,1
12368,264,1,917.7,917.7,330.0,1,1.0,3.25,0.4731182795698925,0,264,264.0,1.0,1773,0,1
12369,49,3,1791.15,597.05,413.6666666666667,3,1.0,6.62,0.1596091205211726,0,277,138.5,0.0,997,0,0
12370,260,3,774.62,258.20666666666665,84.0,2,1.5,4.6,0.7784431137724551,0,304,152.0,0.0,1979,1,0
12371,45,3,2179.42,726.4733333333334,281.6666666666667,2,1.5,7.75,0.1446945337620578,0,281,140.5,0.0,812,0,0
12373,260,2,763.05,381.525,159.5,2,1.0,3.92,0.4012345679012346,0,309,309.0,0.0,2005,0,0
12374,57,3,2246.29,748.7633333333333,340.0,2,1.5,7.75,0.2244094488188976,0,224,112.0,0.0,779,0,0
12376,25,2,503.15,251.575,120.0,2,1.0,5.28,0.1838235294117647,0,53,53.0,0.0,2544,0,0
12377,17,2,1798.2,899.1,580.5,2,1.0,6.4,0.0354166666666666,0,225,225.0,0.0,993,0,0
12378,198,1,1407.7,1407.7,787.0,1,1.0,4.38,0.4647887323943662,0,198,198.0,0.0,1254,0,1
12379,58,2,767.98,383.99,204.0,2,1.0,4.82,0.1567567567567567,0,170,170.0,0.0,1994,0,0
12380,17,10,5167.44,516.7439999999999,219.9,5,2.0,9.55,0.1766743648960738,1,298,33.111111111111114,0.0,250,0,0
12382,318,1,0.0,0.0,-1.0,1,1.0,1.0,0.4774774774774775,0,318,318.0,0.0,4312,0,1
12385,15,2,1923.4,961.7,305.5,1,2.0,6.85,0.25,0,15,15.0,0.0,933,0,0
12386,2,1,258.90000000000003,258.90000000000003,214.0,1,1.0,3.92,0.0588235294117647,0,2,2.0,0.0,3374,0,0
12387,51,1,143.94,143.94,134.0,1,1.0,1.9,0.3863636363636363,0,51,51.0,0.0,3881,0,0
12388,81,2,1120.45,560.225,269.5,2,1.0,5.5,0.1738197424892703,0,218,218.0,0.0,1549,0,0
12389,38,3,1433.33,477.7766666666666,204.66666666666663,3,1.0,6.62,0.1183800623052959,0,291,145.5,0.0,1237,0,0
12391,100,6,2259.58,376.5966666666666,150.5,4,1.5,7.98,0.6702412868632708,0,298,59.6,0.0,774,0,0
12392,227,1,234.75,234.75,73.0,1,1.0,2.12,0.4690082644628099,0,227,227.0,0.0,3469,0,1
12393,18,3,794.15,264.71666666666664,163.0,2,1.5,5.95,0.1914893617021276,0,64,32.0,0.0,1950,0,0
12395,7,4,2048.64,512.16,403.75,4,1.0,8.65,0.0371024734982332,0,238,79.33333333333333,0.0,875,0,0
12396,310,1,931.43,931.43,591.0,1,1.0,3.25,0.4769230769230769,0,310,310.0,0.0,1758,0,1
12399,21,3,853.65,284.55,340.0,3,1.0,5.95,0.0677419354838709,0,280,140.0,0.0,1868,0,0
12400,50,1,205.25,205.25,91.0,1,1.0,1.9,0.3846153846153846,0,50,50.0,0.0,3615,0,0
12402,28,6,1018.55,169.75833333333333,81.5,5,1.2,7.75,0.1837270341207349,0,306,61.2,0.4961464827450788,1643,0,0
12403,157,1,591.6600000000001,591.6600000000001,164.0,1,1.0,3.7,0.4563953488372093,0,157,157.0,0.0,2341,0,1
12404,318,1,63.24,63.24,1.0,1,1.0,1.0,0.4774774774774775,0,318,318.0,0.0,4188,0,1
12406,24,4,2791.46,697.865,393.5,3,1.3333333333333333,8.2,0.0952380952380952,0,333,111.0,0.0,586,0,0
