recency,frequency,monetary,average_purchase_value,quantity_per_order,active_months,purchase_frequency,customer_loyalty_score,high_value_customer_flag,customer_tenure,avg_days_between_purchases,weekend_sales_ratio,customer_rank_by_revenue,churn_warning_flag
67,6,0.0,0.0,1.5,5,1.2,3.92,0,357,71.4,0.0,4343,0
3,2,1323.32,661.66,414.0,2,1.0,6.85,0,40,40.0,0.4621180062267629,1334,0
74,1,222.16,222.16,373.0,1,1.0,1.45,0,74,74.0,0.0,3532,0
43,4,2646.99,661.7475000000001,247.0,4,1.0,7.75,0,371,123.66666666666669,0.0,633,0
11,1,300.93,300.93,261.0,1,1.0,3.92,0,11,11.0,0.0,3213,0
11,2,343.8,171.9,94.0,1,2.0,4.6,0,28,28.0,0.0,3001,0
44,1,317.76,317.76,192.0,1,1.0,3.03,0,44,44.0,0.0,3123,0
203,1,488.21,488.21,303.0,1,1.0,3.25,0,203,203.0,0.0,2584,0
16,3,3560.3,1186.7666666666669,608.3333333333334,2,1.5,8.2,1,60,30.0,0.0,432,0
24,2,12079.99,6039.995,1939.5,1,2.0,7.52,1,24,24.0,0.0,76,0
11,3,2719.01,906.3366666666668,277.0,3,1.0,8.65,0,367,183.5,0.0,615,0
61,8,2469.36,308.67,114.25,5,1.6,9.1,0,370,52.85714285714285,0.5313198561570609,696,0
15,6,1550.83,258.47166666666664,215.5,4,1.5,8.2,0,291,58.2,0.0,1148,0
98,3,321.35,107.11666666666667,48.0,3,1.0,3.92,0,318,159.0,0.3054302162750895,3109,0
374,1,130.0,130.0,1.0,1,1.0,1.0,0,374,374.0,0.0,3951,0
269,1,500.24,500.24,296.0,1,1.0,3.25,0,269,269.0,0.0,2549,0
264,1,917.7,917.7,330.0,1,1.0,3.25,0,264,264.0,1.0,1773,0
49,3,1791.15,597.05,413.6666666666667,3,1.0,6.62,0,277,138.5,0.0,997,0
260,3,774.62,258.20666666666665,84.0,2,1.5,4.6,0,304,152.0,0.0,1979,1
45,3,2179.42,726.4733333333334,281.6666666666667,2,1.5,7.75,0,281,140.5,0.0,812,0
260,2,763.05,381.525,159.5,2,1.0,3.92,0,309,309.0,0.0,2005,0
57,3,2246.29,748.7633333333333,340.0,2,1.5,7.75,0,224,112.0,0.0,779,0
25,2,503.15,251.575,120.0,2,1.0,5.28,0,53,53.0,0.0,2544,0
17,2,1798.2,899.1,580.5,2,1.0,6.4,0,225,225.0,0.0,993,0
198,1,1407.7,1407.7,787.0,1,1.0,4.38,0,198,198.0,0.0,1254,0
