product_id,total_product_sales,total_product_quantity,average_product_revenue,product_velocity,product_total_revenue,product_rank_by_revenue,product_popularity_rank,product_revenue_contribution,weekend_sales_ratio,slow_moving_inventory_flag,daily_demand_std,safety_stock,reorder_point,assumed_current_stock,days_to_stockout,low_stock_flag,inventory_risk_score
10002,5450.21,6748,16.92611801242236,17.9468085106383,5450.21,452,169,0.0005635906308051384,0.06105512744516894,0,66.2863070056999,343.7390839852825,469.3667435597506,179.468085106383,10.0,1,1.0
10002R,20.57,4,6.8566666666666665,0.010638297872340425,20.57,3900,3961,2.1270848785022405e-06,0.0,1,0.12604175824977623,0.653611288390934,0.728079373497317,0.10638297872340426,10.0,1,1.0
10080,10.2,12,1.7,0.031914893617021274,10.2,4035,3735,1.0547528323151605e-06,0.08333333333333333,0,0.34104553469821103,1.7685504742986116,1.9919547296177604,0.3191489361702127,10.0,1,1.0
10109,1.68,4,1.68,0.010638297872340425,1.68,4201,3961,1.737239959107323e-07,0.0,1,0.20628424925175867,1.069722572903238,1.144190658009621,0.10638297872340426,10.0,1,1.0
10120,99.27,457,2.0681249999999998,1.2154255319148937,99.27,3335,1853,1.0265226829796664e-05,0.0437636761487965,0,6.053439910643621,31.391157296870713,39.899136020274966,12.154255319148938,10.0,1,1.0
10123C,239.27,496,3.797936507936508,1.3191489361702127,239.27,2867,1773,2.4742226489024358e-05,0.06653225806451613,0,14.009872911882256,72.65061366394312,81.8846562171346,13.191489361702127,10.0,1,1.0
10123G,99.32,1147,5.517777777777777,3.050531914893617,99.32,3334,1079,1.0270397186817817e-05,0.0034873583260680036,0,98.70138181935269,511.8330482907807,533.186771695036,30.505319148936174,10.0,1,1.0
10124A,19.32,46,1.3800000000000001,0.12234042553191489,19.32,3910,3233,1.9978259529734216e-06,0.08695652173913043,0,0.7382363495530536,3.8282519878228367,4.684634966546241,1.2234042553191489,10.0,1,1.0
10124G,9.24,21,1.32,0.05585106382978723,9.24,4046,3541,9.554819775090278e-07,0.09523809523809523,0,0.46138090600449855,2.3925703084446783,2.783527755253189,0.5585106382978723,10.0,1,1.0
10125,761.66,853,8.96070588235294,2.268617021276596,761.66,1906,1321,7.876108257462403e-05,0.08089097303634232,0,6.384955166817501,33.11028686724423,48.9906060161804,22.68617021276596,10.0,1,1.0
10133,854.87,1005,8.381078431372549,2.672872340425532,854.87,1794,1188,8.839966213345698e-05,0.13134328358208955,0,9.280626889439793,48.12629229006379,66.83639867304251,26.72872340425532,10.0,1,1.0
10134,708.63,615,12.884181818181817,1.6356382978723405,708.63,1968,1573,7.327740191798943e-05,0.07642276422764227,0,12.522947730393033,64.93990653711819,76.38937462222458,16.356382978723406,10.0,1,1.0
10135,2422.71,2032,15.047888198757764,5.404255319148936,2422.71,928,676,0.0002505255131743395,0.11318897637795275,0,36.9559216072874,191.6413089663985,229.47109620044105,54.04255319148936,10.0,1,1.0
